month,genre1,genre2,genre3,genre4,genre5
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Action,War,#N/A,#N/A,#N/A
8,Action,Adventure,SF,#N/A,#N/A
8,Thriller,#N/A,#N/A,#N/A,#N/A
8,SF,Action,Adventure,#N/A,#N/A
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Action,Adventure,#N/A,#N/A,#N/A
8,Action,SF,Thriller,Western,#N/A
8,Comedy,Action,#N/A,#N/A,#N/A
8,Thriller,#N/A,#N/A,#N/A,#N/A
8,Crime,Thriller,#N/A,#N/A,#N/A
8,Action,SF,#N/A,#N/A,#N/A
8,Action,Drama,#N/A,#N/A,#N/A
8,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
8,Drama,Comedy,#N/A,#N/A,#N/A
8,Action,Thriller,Horror,#N/A,#N/A
8,SF,Action,Drama,#N/A,#N/A
8,Thriller,#N/A,#N/A,#N/A,#N/A
8,Drama,Adventure,Action,#N/A,#N/A
8,Crime,Thriller,Mystery,#N/A,#N/A
8,SF,Action,Drama,#N/A,#N/A
8,Adventure,Action,#N/A,#N/A,#N/A
8,Action,Thriller,#N/A,#N/A,#N/A
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
8,Action,Drama,#N/A,#N/A,#N/A
8,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
8,Comedy,#N/A,#N/A,#N/A,#N/A
8,Action,Drama,#N/A,#N/A,#N/A
8,Action,SF,#N/A,#N/A,#N/A
8,Action,#N/A,#N/A,#N/A,#N/A
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Epic,Drama,#N/A,#N/A,#N/A
8,Action,#N/A,#N/A,#N/A,#N/A
8,Action,Adventure,SF,Thriller,#N/A
8,Horror,#N/A,#N/A,#N/A,#N/A
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Action,Crime,Thriller,#N/A,#N/A
8,Action,Comedy,SF,#N/A,#N/A
8,Drama,Family,#N/A,#N/A,#N/A
8,Action,#N/A,#N/A,#N/A,#N/A
8,Action,Adventure,Drama,SF,#N/A
8,Horror,Thriller,Mystery,#N/A,#N/A
8,Action,Comedy,#N/A,#N/A,#N/A
8,Crime,Drama,#N/A,#N/A,#N/A
8,Mystery,Thriller,#N/A,#N/A,#N/A
8,Action,Adventure,SF,#N/A,#N/A
8,Fantasy,Drama,#N/A,#N/A,#N/A
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Drama,#N/A,#N/A,#N/A,#N/A
8,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
8,Thriller,#N/A,#N/A,#N/A,#N/A
8,Musical,#N/A,#N/A,#N/A,#N/A
